,osm_address,district
385,"Москва, Кривоколенный переулок, 10",Басманный район
386,"Москва, Кронштадтский бульвар, 15",Головинский район
387,"Москва, Гоголевский бульвар, 3",район Хамовники
388,"Москва, улица Пречистенка, 31/16",район Хамовники
389,"Москва, 3-й Крутицкий переулок, 13",Южнопортовый район
390,"Москва, 1-й Обыденский переулок, 9/12",район Хамовники
391,"Москва, Кунцевская улица, 10",район Кунцево
392,"Москва, Кусковская улица, 1",район Перово
393,"Москва, Кусковская улица, 47",район Новогиреево
394,"Москва, Кутузовский проспект, 2/1",район Дорогомилово
395,"Москва, Кутузовский проспект, 4/2",район Дорогомилово
396,"Москва, Кутузовский проспект, 8",район Дорогомилово
397,"Москва, Кутузовский проспект, 17",район Дорогомилово
398,"Москва, Кутузовский проспект, 21",район Дорогомилово
399,"Москва, Кутузовский проспект, 30",район Дорогомилово
400,"Москва, Кутузовский проспект, 41",район Дорогомилово
401,"Москва, Ладожская улица, 2/37",Бауманка
402,"Москва, Лазаревский переулок, 4",район Марьина Роща
403,"Москва, улица Лапина, 3",Андроново
404,"Москва, Лебедянская улица, 28",район Бирюлёво Восточное
405,"Москва, Малый Лёвшинский переулок, 14/9",Плющиха
406,"Москва, Ленинградский проспект, 2",район Беговой
407,"Москва, Ленинградский проспект, 10",район Беговой
408,"Москва, Ленинградский проспект, 11",район Беговой
409,"Москва, Ленинградский проспект, 12",район Беговой
410,"Москва, Ленинградский проспект, 24",район Беговой
411,"Москва, Ленинградский проспект, 33",район Беговой
412,"Москва, Ленинградский проспект, 35",район Беговой
413,"Москва, Ленинградский проспект, 48",район Аэропорт
414,"Москва, Ленинградский проспект, 56",район Аэропорт
415,"Москва, Ленинградский проспект, 60",район Аэропорт
416,"Москва, Ленинградский проспект, 62",район Аэропорт
417,"Москва, Ленинградский проспект, 66",район Аэропорт
418,"Москва, Ленинградский проспект, 74",район Аэропорт
419,"Москва, Ленинградский проспект, 77",район Сокол
420,"Москва, Ленинградский проспект, 78",район Аэропорт
421,"Москва, Ленинградское шоссе, 3",Молжаниновский район
422,"Москва, Ленинградское шоссе, 8",Войковский район
423,"Москва, Ленинградское шоссе, 9",Молжаниновский район
424,"Москва, Ленинградское шоссе, 44",Войковский район
425,"Москва, улица Зацепский Вал, 5",Садовники
426,"Москва, Павелецкая площадь, 1",Садовники
427,"Москва, Ленинский проспект, 2А",Бабий городок
428,"Москва, Ленинский проспект, 11",Бабий городок
429,"Москва, Ленинский проспект, 13",Бабий городок
430,"Москва, Ленинский проспект, 28",Донской район
431,"Москва, Ленинский проспект, 34/1",Гагаринский район
432,"Москва, Ленинский проспект, 37",Донской район
433,"Москва, Ленинский проспект, 37А",Донской район
434,"Москва, Ленинский проспект, 43",Гагаринский район
435,"Москва, Ленинский проспект, 57",Гагаринский район
